epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1692.96,1.27413,1.02795,1.18968,0.74621,0.64443,0.6857,0.40456,1.28993,1.12966,1.21599,0.004456,0.004456,0.004456
58,1721.73,1.22848,1.02043,1.20045,0.68197,0.61238,0.64867,0.38705,1.30291,1.2397,1.19572,0.004357,0.004357,0.004357
59,1749.87,1.27346,1.03763,1.20029,0.53257,0.66137,0.63274,0.37559,1.32385,1.25124,1.23649,0.004258,0.004258,0.004258
60,1778.55,1.21718,1.02841,1.17552,0.68425,0.62545,0.6775,0.40589,1.30594,1.12323,1.21084,0.004159,0.004159,0.004159
61,1807.25,1.22644,1.02976,1.18795,0.69406,0.63847,0.68348,0.43225,1.27466,1.15258,1.20614,0.00406,0.00406,0.00406
62,1836.68,1.21114,1.00914,1.18401,0.69421,0.63815,0.68954,0.43086,1.29937,1.13852,1.24689,0.003961,0.003961,0.003961
63,1864.59,1.22417,0.99553,1.19334,0.79647,0.69766,0.72534,0.44623,1.24818,1.05353,1.18434,0.003862,0.003862,0.003862
64,1895.64,1.21211,1.0063,1.18908,0.79279,0.63671,0.70788,0.43692,1.25145,1.12887,1.19422,0.003763,0.003763,0.003763
65,1924.31,1.21074,0.98808,1.1499,0.73601,0.62757,0.692,0.43932,1.24392,1.16613,1.18304,0.003664,0.003664,0.003664
66,1952.62,1.22367,1.00551,1.17285,0.7594,0.61129,0.68702,0.43398,1.2489,1.11633,1.19925,0.003565,0.003565,0.003565
67,1980.4,1.18176,0.96662,1.15764,0.65329,0.65467,0.6612,0.42361,1.22728,1.08723,1.16276,0.003466,0.003466,0.003466
68,2007.59,1.19475,0.97893,1.16217,0.65006,0.56002,0.61897,0.41566,1.23631,1.10357,1.17116,0.003367,0.003367,0.003367
69,2035.96,1.20932,0.97057,1.17123,0.71781,0.57087,0.67274,0.43026,1.26616,1.12795,1.20057,0.003268,0.003268,0.003268
70,2063.42,1.16676,0.95226,1.15667,0.61649,0.63591,0.65139,0.42533,1.23513,1.15335,1.18221,0.003169,0.003169,0.003169
71,2091.05,1.17975,0.97647,1.15651,0.66086,0.58489,0.63405,0.40889,1.26607,1.14894,1.19324,0.00307,0.00307,0.00307
72,2118.95,1.17655,0.96647,1.16171,0.64529,0.63378,0.61915,0.40618,1.23022,1.09974,1.1791,0.002971,0.002971,0.002971
73,2146.77,1.15103,0.93743,1.15741,0.68431,0.64046,0.62557,0.42083,1.20387,1.30972,1.15909,0.002872,0.002872,0.002872
74,2173.45,1.13381,0.93785,1.15207,0.73334,0.6736,0.70247,0.44155,1.28771,1.14676,1.20047,0.002773,0.002773,0.002773
75,2201.21,1.11604,0.91114,1.15602,0.74617,0.65398,0.70287,0.44884,1.24218,1.05587,1.16264,0.002674,0.002674,0.002674
76,2230.48,1.09906,0.92998,1.15393,0.66078,0.6814,0.6739,0.4346,1.20677,1.08924,1.16694,0.002575,0.002575,0.002575
77,2257.95,1.1643,0.93839,1.16671,0.66983,0.6531,0.65631,0.43399,1.21726,1.06099,1.14247,0.002476,0.002476,0.002476
78,2285.65,1.13914,0.93954,1.13887,0.55682,0.66939,0.65759,0.42262,1.24984,1.17373,1.17186,0.002377,0.002377,0.002377
79,2314.45,1.12301,0.91958,1.13265,0.78371,0.65567,0.68292,0.44538,1.22523,1.1041,1.17324,0.002278,0.002278,0.002278
80,2342.62,1.14124,0.92008,1.14413,0.69507,0.67729,0.71072,0.45911,1.21311,1.08823,1.14403,0.002179,0.002179,0.002179
81,2373.55,1.08342,0.8668,1.12834,0.69188,0.71617,0.7041,0.45848,1.21853,1.15959,1.15785,0.00208,0.00208,0.00208
82,2401.33,1.10916,0.88824,1.11856,0.81251,0.63895,0.71201,0.46261,1.22928,1.04273,1.14799,0.001981,0.001981,0.001981
83,2431.61,1.11961,0.90238,1.12249,0.78198,0.5969,0.68318,0.4624,1.20289,1.04115,1.14476,0.001882,0.001882,0.001882
84,2460.25,1.08772,0.88074,1.13385,0.6583,0.71353,0.66697,0.45828,1.19612,1.03191,1.14973,0.001783,0.001783,0.001783
85,2488.74,1.09845,0.89217,1.12029,0.65689,0.70499,0.71019,0.47895,1.19042,1.08103,1.13447,0.001684,0.001684,0.001684
86,2519.5,1.08157,0.85568,1.10959,0.7464,0.67331,0.72437,0.48152,1.19641,1.0298,1.1362,0.001585,0.001585,0.001585
87,2551.51,1.12054,0.85453,1.13954,0.74048,0.66574,0.68831,0.45874,1.18661,1.03747,1.1305,0.001486,0.001486,0.001486
88,2579.69,1.04859,0.83497,1.09092,0.64282,0.65543,0.6632,0.43588,1.21643,1.10474,1.1547,0.001387,0.001387,0.001387
89,2608.71,1.09463,0.86003,1.09619,0.75592,0.67196,0.70131,0.4624,1.20734,1.06798,1.14873,0.001288,0.001288,0.001288
90,2636.48,1.06635,0.85081,1.11225,0.76278,0.64368,0.70325,0.45642,1.19796,1.07707,1.14175,0.001189,0.001189,0.001189
